Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Display_Size_inch,Display_Type,RearCam,FrontCam,Battery_mAh,Processor,Warranty_Years,Specs
Samsung,Samsung Galaxy F05,"Samsung Galaxy F05 (Twilight Blue, 64 GB)",6249,9919.05,37%,4.2,4,64,6.74,HD+,50MP + 2MP,8MP,5000, Helio G85 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Helio G85 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Redmi,REDMI A3X,"REDMI A3X (Ocean Green, 128 GB)",6499,10831.67,40%,4.1,4,128,6.71,HD+,8MP Rear Camera,5MP,5000,Not Specified,1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.04 cm (6.71 inch) HD+ Display; 8MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Motorola,MOTOROLA g05,"MOTOROLA g05 (Forest Green, 64 GB)",6999,9998.57,30%,4.2,4,64,6.67,HD+,50MP Rear Camera,8MP,5100, Helio G81 Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5100 mAh Battery; Helio G81 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
Poco,POCO C71,"POCO C71 (Power Black, 128 GB)",6999,9998.57,30%,4.1,6,128,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C71,"POCO C71 (Desert Gold, 128 GB)",6999,9998.57,30%,4.1,6,128,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C71  - Locked with Airtel Prepaid,"POCO C71  - Locked with Airtel Prepaid (Power Black, 64 GB)",5799,8921.54,35%,3.9,4,64,6.88,HD+,32MP Rear Camera,8MP,5200,6GHz Processor,0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
Poco,POCO C75 5G,"POCO C75 5G (Aqua Bliss, 64 GB)",7699,10998.57,30%,4.2,4,64,6.88,HD+,50MP Rear Camera,5MP,5160, 4s Gen 2 5G Processor,1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5160 mAh Battery; 4s Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Poco,POCO M7 5G - Locked with Airtel Prepaid,"POCO M7 5G - Locked with Airtel Prepaid (Ocean Blue, 128 GB)",8799,12939.71,32%,3.9,6,128,6.88,HD+,50MP Rear Camera,8MP,5160, 4 Gen 2 5G Processor,1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 17.48 cm (6.88 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5160 mAh Battery; 4 Gen 2 5G Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Vivo,vivo T4 Lite 5G Charger in the Box,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",9999,13887.5,28%,4.4,4,128,6.74,HD+,50MP + 2MP,5MP,6000, Dimensity 6300 5G Processor,1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.12 cm (6.74 inch) HD+ Display; 50MP + 2MP | 5MP Front Camera; 6000 mAh Battery; Dimensity 6300 5G Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Motorola,Motorola g45 5G,"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)",11999,14998.75,20%,4.3,8,128,6.52,HD+,50MP + 2MP,16MP,5000, Snapdragon 6s Gen 3 Processor,1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB; 16.51 cm (6.5 inch) HD+ Display; 50MP + 2MP | 16MP Front Camera; 5000 mAh Battery; Snapdragon 6s Gen 3 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
